temporada,categoria,competicion,grupo,jornada,cod_acta,equipo,rival,local_visitante,dorsal,jugador,status,tipo_participacion,minutos_jugados
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,25,"PRESEDO VIDAL, ALESSANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,13,"BAULDE OUZANDE, ADAN",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,14,"BERNAL PENAS, LUCAS",suplente,suplente participa,11
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,22,"RODRIGUEZ VILAS, BRAIS",suplente,suplente participa,7
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,26,"FERNANDEZ PEREZ, JESUS DE BELEN",suplente,suplente participa,44
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,13,"REY VALLADARES, IAGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,4,"CARRO MAREQUE, JUAN JOSE",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,5,"PARADA CASTIÑEIRAS, OSCAR",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,6,"VILLAR MELLA, ROI",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,8,"GARCIA CASAL, IVAN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,11,"PAJARO BARRAN, DANIEL",titular,titular sustituido,71
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,16,"DOS REIS FERRO, OSCAR",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,17,"MÍGUEZ SANMARTÍN, MIGUEL",titular,titular sustituido,78
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,19,"VIEITES BOUZON, MARTIN",titular,titular sustituido,55
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,20,"FERNANDEZ SUAREZ, DARIO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,23,"ALDREY GONTAD, XIAN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,1,"SENIN MONTERO, ALEJANDRO",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,7,"VEIGA ROSENDE, IAGO",suplente,suplente participa,35
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,12,"MILLAN OCAMPO, JOSE ANTONIO",suplente,suplente participa,12
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,18,"LOPEZ BREA, SANTIAGO",suplente,suplente participa,19
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,24,"PEREIRAS PEREIRO, RAFAEL",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,13,"FERREIRO TORRES, BORJA",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,4,"VARELA MIRANDA, MATEO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,8,"CERVIÑO CARRACEDO, ANDRES",titular,titular sustituido,77
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,10,"GOMEZ CORA, ADRIAN",titular,titular sustituido,64
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,12,"FORTES OTERO, RAFAEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,17,"FERNANDEZ GONZALEZ, IAGO JOSE",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,18,"FUENTES CORREA, MANUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,19,"BARRUSO ARIAS, HUGO",titular,titular sustituido,77
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,22,"DA COSTA MORLAN, BRAIS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,23,"RIVADULLA QUINTAS, LUIS MIGUEL",titular,titular sustituido,51
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,25,"MIGUEZ VIDAL, DANIEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,1,"TARRIO MEJUTO, ANGEL",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,6,"IGLESIAS PALLAS, FERNANDO",suplente,suplente participa,39
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,7,"ULLA COSTA, RICARDO",suplente,suplente participa,13
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,9,"CHEDAS DURAN, ALFONSO",suplente,suplente participa,26
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,20,"RIVEIRA DA COSTA, MARTIN",suplente,suplente participa,13
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,1,"MENDEZ ALONSO, DANIEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,2,"PEITEADO MOLEDO, SERGIO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,3,"DOVAL GARCIA, ION",titular,titular sustituido,75
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,4,"SANIN CARBIA, ALBERTO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,6,"AGUIAR RODRIGUEZ, JULIAN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,7,"CASTRO DOMINGUEZ, FRANCISCO",titular,titular sustituido,54
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,8,"RIVEIRA MURCIA, HUGO",titular,titular sustituido,57
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,9,"GARCIA CARRERA, MANUEL",titular,titular sustituido,54
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,10,"FIGUEIRAS GAGO, ALEJANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,11,"ESPIÑO CUIÑA, LOIS",titular,titular sustituido,75
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,15,"RODRIGUEZ FARIÑA, ALEJANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,5,"CANABAL DE LA FUENTE, CRISTIAN",suplente,suplente participa,33
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,14,"VILLAMAYOR RIVADULLA, PEDRO",suplente,suplente participa,15
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,16,"VARELA VAZQUEZ, DAVID",suplente,suplente participa,36
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,17,"GOMEZ SANTISO, ALEJANDRO",suplente,suplente participa,36
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,21,"ABONJO BOUZAS, ALEJANDRO",suplente,suplente participa,15
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,1,"BLANCO GARCIA, HUGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,2,"GARCIA SENRA, DIEGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,4,"LAREO MERA, LUCAS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,5,"CENDON GONZALEZ, JOSE",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,9,"FERREIRO RIAL, RUBEN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,10,"VAZQUEZ CORRAL, JORGE",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,11,"CEREIJO IGLESIAS, ALBERTO L",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,14,"GOMES TAVARES, RAFAEL ANDRE",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,19,"SAINZ TRESGUERRAS, JESUS FERNANDO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,21,"VILLAR VILLAR, IVAN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,22,"FARIÑAS LOPEZ, ALEJANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,6,"FUENTES PARRA, DANIEL",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,7,"VARELA LODEIRO, GABRIEL",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,8,"PORTOS VILLAR, BORJA",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,20,"CANABAL CASTRO, ISMAEL",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,24,"PAZO DURO, JAVIER",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,13,"TABOADA QUINTANA, MARCOS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,2,"LOTO , ALAN NICOLAS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,3,"DEL PUERTO DUARTE, VICTOR MANUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,4,"RIELO COUSO, LUCAS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,5,"LOPEZ DE LA FUENTE, ELOI",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,6,"ALONSO GIL, GUILLERMO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,7,"NOGUEIRA GONZALEZ, PABLO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,8,"SUAREZ PEON, DIEGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,9,"FERNÁNDEZ GARCÍA, RUBÉN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,10,"CAMBEIRO COSTA, AIRAS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,11,"RIVERO MONTOTO, NUNO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,1,"LAMELA RODRIGUEZ, NICOLAS",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,12,"ESPIÑO RODRIGUEZ, AARON",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,14,"ESPANTOSO LAMAS, RICARDO",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,15,"RIELO COUSO, HUGO",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,20,"ESPANTOSO LAMAS, JORGE",suplente,suplente no participa,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,1,"PAMPIN DONO, RUBEN",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,3,"TEMBRA SOUTO, SANTIAGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,4,"NUÑEZ BARRAL, SEBASTIAN",titular,titular sustituido,58
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,5,"MOIMENTA MOHAMMED, MIGUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,6,"DE LA TORRE CUEVAS, FERNANDO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,7,"MEIJOME QUINTANA, RODRIGO",titular,titular sustituido,66
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,8,"FRANCO SANMARTIN, CARLOS L",titular,titular sustituido,66
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,9,"NUÑEZ BARRAL, DAVID",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,10,"MIGUEZ REY, MICHAEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,12,"TORRES SUAREZ, SANTIAGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,16,"MUIÑA BARREIRO, ALEJANDRO",titular,titular sustituido,46
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,2,"JIMÉNEZ ALBARRAN, SERGIO",suplente,suplente participa,32
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,11,"ROA BECERRA, YAGO",suplente,suplente participa,24
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,14,"MOSQUERA GARRIDO, DIEGO",suplente,suplente participa,44
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,local,15,"CALVO CUTRIN, RAUL",suplente,suplente participa,24
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,13,"SANCHEZ PINTOS, JUAN A",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,4,"DEL RIO SEBE, DAVID",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,5,"BOUZAS MOSQUERA, MANUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,8,"FERREIRO RODRIGUEZ, YAGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,9,"DA CONCEICAO ANTUNES, FELIPE MATHEUS",titular,titular sustituido,40
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,10,"SALGUEIRO POMBO, DAVID",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,14,"BENITEZ SANHUEZA, LEONARDO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,15,"MARTINEZ RODRIGUEZ, JOSE EMILIO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,17,"VAAMONDE CALVIÑO, MANUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,18,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",titular,titular sustituido,72
